Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Austin, Cross",Southland,Sam Houston St.,So,INF,,,9,0.125,0.222,0.125,0,0,0,0,22.22,11.11,-11.11,0.167,0.174,-1,0
"Austrie, Dion",Metro Atlantic,Iona,Sr,INF,,,11,0.182,0.182,0.182,0,0,0,0,27.27,0,-27.27,0.25,0.16,-2,0
"Avans, Drew",Southland,Southeastern LA.,Sr,OF,2018,1004,82,0.239,0.378,0.358,1,0.119,8,11,18.29,14.63,-3.66,0.294,0.334,0,10
"Avant, Chandler",SEC,Alabama,Sr,INF,2018,890,69,0.373,0.464,0.492,0,0.119,1,4,8.7,11.59,2.89,0.415,0.418,5,13
"Avant, Christian",Sun Belt,Georgia Southern,Fr,C,,,49,0.317,0.396,0.366,0,0.049,1,1,14.29,6.12,-8.17,0.371,0.34,0,6
"Avers, Jason",Sun Belt,Appalachian St.,Fr,C,,,27,0.182,0.333,0.227,0,0.045,0,0,25.93,18.52,-7.41,0.267,0.272,-1,2
"Aviles, Luis",Conference USA,Rice,Fr,C,,,12,0.091,0.167,0.091,0,0,0,0,25,8.33,-16.67,0.125,0.131,-2,-1
"Avitia, David",Western Athletic,Grand Canyon,Fr,C,,,24,0.368,0.5,0.421,0,0.053,0,0,16.67,20.83,4.16,0.467,0.415,2,5
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,12,0.167,0.167,0.167,0,0,0,0,25,0,-25,0.222,0.146,-2,0
"Ayers, Chris",Missouri Valley,Indiana St.,Jr,OF,,,17,0.2,0.25,0.267,0,0.067,0,0,47.06,0,-47.06,0.429,0.232,-1,1
"Babin, Ty",Big South,Campbell,Fr,C,,,41,0.25,0.325,0.306,0,0.056,3,3,12.2,7.32,-4.88,0.29,0.285,-2,3
"Bacon, Andrew",Horizon,Northern Ky.,Fr,INF,,,34,0.2,0.294,0.333,1,0.133,0,0,20.59,11.76,-8.83,0.227,0.28,-2,3
"Bacon, Connor",ACC,Boston College,Jr,OF,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Badaraco, Edgar",ASUN,NJIT,Sr,C,,,3,0,0,0,0,0,0,0,33.33,0,-33.33,0,0,-1,0
"Badger, Landon",Summit League,South Dakota St.,So,OF,,,72,0.274,0.357,0.323,0,0.049,4,5,23.61,9.72,-13.89,0.378,0.308,-2,7
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,9,0.333,0.333,0.333,0,0,0,0,11.11,0,-11.11,0.375,0.293,0,1
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
