Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Ashur, Andrew",Atlantic 10,Davidson,Jr,P,,,18.9,127,11.81,12.6,-0.79,0.311,0.394,0.462,0.368,15.75,29.92,6.32
"Ashworth, Colin",Big West,Hawaii,Sr,P,,,14.2,80,17.5,3.75,13.75,0.279,0.35,0.382,0.321,23.75,20,4.91
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,52.3,291,14.43,8.93,5.5,0.351,0.44,0.535,0.417,18.56,21.65,5.19
"Aubin, Casey",Atlantic 10,Massachusetts,Jr,P,,,54.5,267,20.97,6.37,14.6,0.259,0.322,0.444,0.325,17.23,26.22,4.67
"Aufiero, Matt",Northeast,Sacred Heart,Fr,P,,,23,97,12.37,4.12,8.25,0.284,0.33,0.364,0.303,19.59,32.99,3.02
"Aungst, Justin",Atlantic 10,Saint Josephs,Sr,P,,,112.5,536,19.22,5.97,13.25,0.266,0.328,0.378,0.308,21.27,24.44,3.46
"Ausley, Landon",Southland,Sam Houston St.,Fr,P,,,14.1,62,38.71,20.97,17.74,0.125,0.306,0.146,0.236,12.9,16.13,2.51
"Austin, Logan",Sun Belt,UT Arlington,Jr,P,,,40.8,205,20.49,9.27,11.22,0.274,0.346,0.349,0.307,27.32,14.15,3.1
"Ausua, Miguel",Summit League,Oral Roberts,Sr,P,2018,876,122.1,517,18.57,7.16,11.41,0.244,0.298,0.36,0.284,24.56,23.4,3.8
"Autin, Zach",Southland,Nicholls St.,So,P,,,21.3,112,20.54,16.07,4.47,0.282,0.393,0.376,0.338,15.18,18.75,3.8
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,1.1,9,0,11.11,-11.11,0.5,0.556,1,0.621,11.11,33.33,5.87
"Ay, Bobby",Big West,Cal Poly,Jr,P,,,35,191,11.52,9.95,1.57,0.317,0.403,0.391,0.352,23.56,22.51,4.12
"Ayala, A.G.",Southland,A&M-Corpus Chris,Fr,P,,,26,112,26.79,12.5,14.29,0.177,0.295,0.25,0.256,20.54,23.21,3.19
"Ayer, Brett",Colonial,James Madison,So,P,,,13.2,55,38.18,16.36,21.82,0.091,0.236,0.091,0.177,9.09,25.45,2.01
"Ayers, Bryan",Sun Belt,Arkansas St.,Sr,P,,,72.8,380,19.21,8.95,10.26,0.306,0.376,0.461,0.361,16.84,24.21,5.02
"Baar, Keegan",Big 10,Michigan State,Sr,P,,,36.5,209,11.48,9.09,2.39,0.287,0.368,0.425,0.347,17.7,32.54,6.02
"Baayoun, Zak",Big West,Long Beach St.,So,P,,,81.6,367,19.35,6.81,12.54,0.263,0.316,0.384,0.303,25.07,22.07,3.27
"Bach, Carter",ACC,Wake Forest,So,P,,,27.7,155,25.16,17.42,7.74,0.258,0.406,0.458,0.376,15.48,16.77,5.2
"Bachman, Marc",Ivy League,Dartmouth,Sr,P,,,28.3,167,12.57,5.39,7.18,0.324,0.359,0.541,0.374,26.35,20.96,6.61
"Backhus, Kyle",Southland,Sam Houston St.,So,P,,,40.3,232,25.86,14.22,11.64,0.246,0.379,0.353,0.332,18.97,15.95,4.59
"Backman, Trevor",Metro Atlantic,Marist,Fr,P,,,14.2,70,15.71,11.43,4.28,0.281,0.343,0.386,0.31,17.14,25.71,3.29
"Backofen, Kyle",Sun Belt,La.-Monroe,So,P,,,43.6,232,15.09,7.33,7.76,0.362,0.418,0.614,0.433,18.1,23.71,6.63
"Bader, Ryan",Big 10,Northwestern,Fr,P,,,19.1,101,10.89,14.85,-3.96,0.35,0.465,0.463,0.407,21.78,18.81,5.66
"Baduel, Raul",Southwestern,Grambling,Sr,P,,,71.9,347,11.53,8.93,2.6,0.292,0.383,0.407,0.349,26.51,22.19,4.9
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,0.1,2,0,100,-100,NA,1,NA,0.691,0,0,63.15
"Bafus, Curtis",Atlantic 10,VCU,Jr,P,,,18.2,88,12.5,14.77,-2.27,0.254,0.364,0.358,0.317,28.41,15.91,5.13
"Bahlinger, Christian",Southland,Nicholls St.,Sr,P,,,44.1,196,15.31,7.65,7.66,0.259,0.337,0.371,0.312,21.43,27.55,4.17
"Bahm, Zack",Ivy League,Columbia,Sr,P,,,44.2,252,11.51,6.75,4.76,0.33,0.385,0.491,0.371,15.08,31.35,4.71
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,38.7,234,11.54,11.97,-0.43,0.309,0.402,0.438,0.365,19.23,26.5,5.4
"Bailey, Charles",Southwestern,Southern U.,So,P,,,11.2,64,10.94,15.63,-4.69,0.333,0.516,0.444,0.433,23.44,12.5,7.88
"Bailey, Chase",American East,UMBC,Sr,P,,,41,191,22.51,8.38,14.13,0.273,0.356,0.36,0.317,12.57,26.18,3.12
"Bailey, Garrett",Ivy League,Cornell,Fr,P,,,1.1,9,0,0,0,0.556,0.556,0.556,0.488,33.33,11.11,3.15
"Bailey, Logan",Conference USA,Louisiana Tech,Jr,P,,,57.2,237,18.57,3.38,15.19,0.259,0.291,0.361,0.281,19.83,29.11,3.2
"Baille, Davis",Pac 12,Washington St.,So,P,,,16.2,88,9.09,14.77,-5.68,0.301,0.409,0.466,0.38,26.14,22.73,6.36
"Bain, Austin",SEC,LSU,Sr,P,,,58.2,325,27.69,10.46,17.23,0.229,0.32,0.336,0.292,12.31,26.46,3.01
"Bair, Carter",Conference USA,Middle Tenn,Jr,P,,,18.8,98,22.45,8.16,14.29,0.289,0.398,0.446,0.373,18.37,19.39,5.27
"Baird, Butch",Mid American,Ohio,Sr,P,,,78.1,354,19.77,9.04,10.73,0.241,0.319,0.373,0.304,20.9,25.99,4.65
"Baird, Cam",Sun Belt,Texas State,Sr,P,2018,597,51.4,251,17.53,8.76,8.77,0.265,0.351,0.335,0.308,24.3,21.12,3.5
"Baird, Dustin",Ivy League,Brown,So,P,,,6.1,35,17.14,8.57,8.57,0.308,0.486,0.538,0.448,2.86,31.43,9.87
"Baird, Michael",Missouri Valley,Southern Ill.,Sr,P,2018,693,182.3,787,19.06,4.96,14.1,0.248,0.292,0.363,0.284,23.25,26.56,3.27
"Baker, Andrew",SEC,Florida,So,OF,,,28.1,135,25.19,9.63,15.56,0.239,0.326,0.265,0.273,27.41,13.33,2.9
"Baker, Brandon",Sun Belt,Georgia St.,Sr,P,,,39.8,226,19.91,22.12,-2.21,0.25,0.425,0.378,0.363,13.27,21.24,6.34
"Baker, Hunter",Southern,Furman,Sr,P,,,17.1,97,7.22,10.31,-3.09,0.337,0.433,0.458,0.392,18.56,30.93,5.54
"Baker, John",Mid American,Ball St.,So,P,,,95.8,415,28.43,9.4,19.03,0.212,0.306,0.313,0.278,14.94,24.58,2.96
